id,source,holder,collection,title,title_alt,authors,date,years,kind,shelfmark,manifest,page,rights,work,book,match,notes
sbb:1039289096,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,醫林精萃,[Essentials from medical literature],,Early republican era,,写,Slg. Unschuld 8384,https://content.staatsbibliothek-berlin.de/dc/PPN1799843998/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1799843998,Public Domain Mark 1.0（数字化影像）,,,,主题：External medicine
sbb:103928910X,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,背疽諸瘡虛實內外變症總論,[Comprehensive discourse to differentiate pathoconditions of depletion and repletion inner and outer in cases of flat abscesses on the back and all ulcers],,Early republican era,,写,Slg. Unschuld 8386,https://content.staatsbibliothek-berlin.de/dc/PPN1868141276/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1868141276,Public Domain Mark 1.0（数字化影像）,,,,主题：External medicine
sbb:1039289118,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,外科形圖諸病,[Illustrated depiction of all types of ailments in external medicine],,,,写,Slg. Unschuld 8387,,https://stabikat.de/Record/1039289118,未数字化,,,,主题：External medicine
sbb:1039289126,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,祝由科大全,[Encyclopedia of [the medical] specialty of an invocation of the origins],,Early republican era,,写,Slg. Unschuld 8388,https://content.staatsbibliothek-berlin.de/dc/PPN1868141470/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1868141470,Public Domain Mark 1.0（数字化影像）,,,,主题：Apotropaics
sbb:1039289134,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,丹道秘訣,[Secret instructions on the dao of the elixir],,1928-1942,1928-1942,写,Slg. Unschuld 8389,https://content.staatsbibliothek-berlin.de/dc/PPN1868141950/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1868141950,Public Domain Mark 1.0（数字化影像）,,,,
sbb:1039289142,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,推拿秘法,[Secret patterns of push-and-pull massage],,Early Republican era,,写,Slg. Unschuld 8391,https://content.staatsbibliothek-berlin.de/dc/PPN1868142167/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1868142167,Public Domain Mark 1.0（数字化影像）,,,,主题：Tuina push-and-pull massage
sbb:1039289150,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[脈法],[Patterns of the [movements in the] vessels],,Early Republican era,,写,Slg. Unschuld 8392,https://content.staatsbibliothek-berlin.de/dc/PPN1868142272/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1868142272,Public Domain Mark 1.0（数字化影像）,,,,主题：Diagnosis
sbb:1039289169,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,診家正眼,[Experts in diagnosis looked in the eyes],,Early republican era,,写,Slg. Unschuld 8393,https://content.staatsbibliothek-berlin.de/dc/PPN1868880567/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1868880567,Public Domain Mark 1.0（数字化影像）,jc:诊家正眼,jc_m002,exact,主题：Diagnosis/pharmacy
sbb:1039289177,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,四言脈訣,"[Instructions on the [movements in the] vessels, worded in lines of four characters]",,Early republican era,,写,Slg. Unschuld 8394,https://content.staatsbibliothek-berlin.de/dc/PPN1868880907/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1868880907,Public Domain Mark 1.0（数字化影像）,,,,主题：Pulse lore
sbb:1039289185,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,脈訣歌,[Rhymed instructions on the [movement in the] vessels],,Late Qing,,写,Slg. Unschuld 8395,https://content.staatsbibliothek-berlin.de/dc/PPN1868880966/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1868880966,Public Domain Mark 1.0（数字化影像）,,,,主题：Pulse lore
sbb:1039289193,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,便記應用,[Brief notes for application in practice],,Early Republican era,,写,Slg. Unschuld 8396,https://content.staatsbibliothek-berlin.de/dc/PPN1868881105/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1868881105,Public Domain Mark 1.0（数字化影像）,,,,主题：Basic theory
